rank,ticker,name,score_total
1,BA,Boeing,0.8173950303638797
2,META,Meta Platforms,0.8142073307726513
3,AXON,Axon Enterprise,0.7907433137840185
4,CZR,Caesars Entertainment,0.7259888959248588
5,TECH,Bio-Techne,0.7224780905953219
6,HCA,HCA Healthcare,0.7150944717140141
7,EFX,Equifax,0.6982350242287141
8,LUV,Southwest Airlines,0.685725364512248
9,TDG,TransDigm Group,0.6796621758077986
10,MMM,3M,0.6615495365770357
11,COIN,Coinbase,0.6609751643812789
12,EPAM,EPAM Systems,0.6596517021183638
13,TXT,Textron,0.6564364985444542
14,PCG,PG&E Corporation,0.6549966771646933
15,UAL,United Airlines Holdings,0.6539173553863357
